DeviceType,ApiDeviceTypeString,CustomizedDeviceTypeString,WebhookDeviceTypeString,PhysicalOrVirtual,IsSupportPolling,IsSupportWebhook,IsSupportCommand,Description,DisplayName,DisplayNameJa
Bot,Bot,,WoHand,PhysicalDevice,TRUE,TRUE,TRUE,,Bot,ボット
Curtain,Curtain,,WoCurtain,PhysicalDevice,TRUE,TRUE,TRUE,,Curtain,カーテン
Curtain3,Curtain3,,WoCurtain3,PhysicalDevice,TRUE,TRUE,TRUE,,Curtain3,カーテン３
Hub,Hub,,,PhysicalDevice,FALSE,FALSE,FALSE,,Hub,
HubPlus,Hub Plus,,,PhysicalDevice,FALSE,FALSE,FALSE,,Hub Plus,ハブプラス
HubMini,Hub Mini,,,PhysicalDevice,FALSE,FALSE,FALSE,,Hub Mini,ハブミニ
Hub2,Hub 2,,WoHub2,PhysicalDevice,TRUE,TRUE,FALSE,,Hub 2,ハブ 2
Meter,Meter,,WoMeter,PhysicalDevice,TRUE,TRUE,FALSE,,Meter,温湿度計
MeterPlus,MeterPlus,,WoMeterPlus,PhysicalDevice,TRUE,TRUE,FALSE,,MeterPlus,温湿度計プラス
OutdoorMeter,WoIOSensor,,WoIOSensor,PhysicalDevice,TRUE,TRUE,FALSE,,WoIOSensor,防水温湿度計
Lock,Smart Lock,,WoLock,PhysicalDevice,TRUE,TRUE,TRUE,,Smart Lock,ロック
LockPro,Smart Lock Pro,,WoLockPro,PhysicalDevice,TRUE,TRUE,TRUE,,Smart Lock Pro,ロック Pro
Keypad,Keypad,,WoKeypad,PhysicalDevice,TRUE,TRUE,TRUE,,Keypad,キーパッド
KeypadTouch,Keypad Touch,,WoKeypadTouch,PhysicalDevice,TRUE,TRUE,TRUE,,Keypad Touch,指紋認証パッド
Remote,Remote,,,PhysicalDevice,FALSE,FALSE,FALSE,,Remote,
MotionSensor,Motion Sensor,,WoPresence,PhysicalDevice,TRUE,TRUE,FALSE,,Motion Sensor,人感センサー
ContactSensor,Contact Sensor,,WoContact,PhysicalDevice,TRUE,TRUE,FALSE,,Contact Sensor,開閉センサー
WaterDetector,Water Detector,,Water Detector,PhysicalDevice,TRUE,TRUE,FALSE,,Water Leak Detector,水漏れセンサー
CeilingLight,Ceiling Light,,WoCeiling,PhysicalDevice,TRUE,TRUE,TRUE,,Ceiling Light,シーリングライト
